title,date,lead,subtitle,tags,body
"La vuelta de Ghost, el caso tétrico del creador del Tetris, y más",2023-04-11T16:49:25-03:00,"Aprendices de superhéroe, flashes psicodélicos, docus dark, chicas sobrevivientes, asesinos seriales y pandillas nigerianas.","Los #Hashtags del NO | Música nueva y lo mejor para ver, leer, jugar, probar y aprender ",['Ghost'],"['#VideosConCrema Alan Sutton y las Criaturitas de la Ansiedad mete flash psicodélico de identidad canina e inodoro en el clip de Tutank´mon, anticipo de su tercer disco. Además, el dúo Intendente suma a CA7RIEL en el video de Punky What (fábula hardcore oscura y caliente, dirigida por Valentine), los patagónicos Dulce Ironía sueltan el clip de Alma, calma (aventura tribal grabada en salinas rionegrinas), Diosque entrega el de Aeropuerto (pictórica aventura fílmica producida en Madrid), y Micaela Basadoni muestra algo de su vivo en la Usina del Arte con Tecito.', '#DeVisitante Los canadienses Badbadnotgood confirman retorno a la Argentina, para tocar el 1/6 en la CC Konex. Por su parte, además de prometer un nuevo EP para mediados de mayo, los hard-rockers suecos Ghost anunciaron su regreso al país: meterán toque el 24/9 en el Luna Park.', '#AltaTemporada Cada serie, cada episodio. Una máscara de patito amarillo y sonriente esconde a un asesino serial en el estreno de la saga de terror naval Wreck, desde el 9/4 en AMC. Además, un grupo de chicas sobrevivientes de una catástrofe enfrenta sus fantasmas en la segunda de Yellowjackets (ya en Paramount+). La docuserie Tetris: del juego al asesinato recorre la historia de crímenes alrededor del clásico videojuego (11/4, HBO Max). Y el joven aprendiz Turner, hijo adoptivo de Bruce Wayne, expande el universo del murciélago en el debut de Gotham Knights (HBO Max).\xa0', '#HacelaSimple Queremos canciones, tenemos canciones. Melanie Williams & El Tabloide suelta NT al sol. También estrenan simples Rombai (Olvídate de mí), Ben Ferrero (Inspiración), Gainza (Maquinita, producido por Maca Mona Mu) y Juan Irio (Nada).', '#Pantallazos Una chica intenta aprender sobre la gente escuchando al dúo Suicide, viendo documentales de animales y recibiendo educación sexual de una amiga en La vida según Attenberg, de Athina Rachel Tsangari (Mubi). Y pandillas nigerianas chocan en las calles de Gangs of Lagos, de Jadisola Osiberu (Amazon Prime Video). Además, la peli Depeche Mode 101 subió al menú de OnDirecTV.', '']"
Perder el trabajo por la IA,2023-04-11T10:50:52-03:00,,Bife angosto,[],[]
"Los Campeones del Mundo, el Gualicho de Sazón Buyanga, y más",2023-04-07T14:01:03-03:00,"Freestylers 2023, series brit, lobizones bonaerenses, peyotes juveniles, villanos antillanos y nuevas canciones bombas. ","Los #Hashtags del NO | Música nueva y lo mejor para ver, leer, jugar, probar y aprender","['Lionel Messi', 'Selección Argentina', 'Mundial de Qatar 2022']","['#RondaDeFree La liga de freestyle FMS presentó su formato 2023 y trae cantidad de novedades: la FMS Argentina sumará representantes de Uruguay y empezará el 10/6; las ligas seguirán teniendo 12 participantes pero habrá solo 9 fechas, como al comienzo; y hay modificaciones en los sistemas de ascenso, playoffs y finales.', '#CualquieraPuedeGooglear Clic copado: para seguir celebrando la tercera y el Mundial de Qatar, la muestra oficial de AFA en La Rural, Campeones del Mundo, reúne objetos, videos, propuestas inmersivas y todo tipo de experiencias sobre los tres títulos mundiales de la Selección Argentina. Clic en serie: en la propuesta sci-fi de la británica The Power, por Prime Video, se descubre una mutación en las chicas adolescentes que les da el don de la electrocución. Clic podcastinado: salió la segunda temporada del podcast chileno de terror Quemar tu casa, sobre dos hermanas en situación de pesadilla en mansión hechizada.', ""#SóloLectura Ya está disponible El lobizón de Carlos Casares, el libro del historiador Fernando Soto Roland que recupera el mito del licántropo bonaerense de los '70 e inaugura la irresistible colección paranormal La Marciana, del Centro de Investigaciones Fantásticas Editores. Y también se consiguen Así sonaría mi banda, el poemario pandémico que la locutora Bárbara Jack publicó por Plateada Editora; y Las puertas, segundo libro a cargo de Ariell Carolina, escritorx, gestorx cultural y activista del Ya No Nos Callamos Más, que viene acompañado de un EP producido por Ignacia Etcheverry."", '#VideosConCrema Turf y Los Auténticos Decadentes se funden en el tierno clip de Sentimientos encontrados, una irónica y autorreferencial oda al paso del tiempo dirigida por Belén Asad. Los Peyotes subieron el corto No quiero crecer, rabioso sprint de garage y alambrado, grabado en Los Angeles con cast apócrifo, teen y 100% californiano. Y Sazón Buyanga acompaña la salida de su nuevo disco con el video de Gualicho, flash salsero con gastronomía lisérgica y locura en clase de gym, aerobox mixto y entrenamiento funcional.', '#DeVisitante Andá anotando que en la segunda mitad del año se vienen shows de los islandeses The Vintage Caravan en Casa Colombo (15/8), del trío neoyorkino Against The Current en Niceto Club (15/9), de la rapera portorriqueña Villano Antillano en el Teatro Vorterix (23/9), de los góticos italianos Måneskin en el Movistar Arena (29/10), de los noruegos Leprous en El Teatrito (16/11) o de los jovatos californianos Red Hot Chili Peppers en River (24 y 26/11, con entradas ya agotadas).', '#HacelaSimple ¿Ya escuchaste los temas nuevos de Usted Señalemelo (Nena dime algo), KCM Klan (Noche), Julián Desbats (Chica del Oeste), Giros (Una foto con los Rolling Stones), La Maurette (La mami), David Nahon (Litoral), Silvestre y la Naranja (El ding dong), Kike Passo (El zorzal) y Andry Bett (Nuevas bombas)?', '', '', '', '']"
"Swarm, obsesión asesina: pop... pop para divertirse",2023-04-07T09:23:11-03:00,"La nueva serie de Donald Glover (Atlanta; Childish Gambino) colisiona fanatismo, redes sociales, pop juvenil y violencia gore.","Episodio #120 de Ahí nos vimos, el podcast de cosas para ver del NO","['Ahí nos vimos', 'Prime Video', 'Series', 'Donald Glover']","['', 'Colate en Swarm, obsesión asesina, la miniserie de Prime Video que traza una fábula de fanatismo, soledad, redes sociales y pop adolescente atravesada por estallidos desconcertantes de violencia gore. Con clima de cómic, sino de fotonovela, este producto casi personal del actor Donald Glover (aka Childish Gambino en su faceta musical; y también creador y director de la serie Atlanta) arma un relato de agresión y aislamiento juvenil en el que salirse de control se convierte en un patrón.', '', '', '', '']"
Fenna Frei en La Tangente y más shows para el finde largo,2023-04-06T09:41:12-03:00,"¿Tenés una fecha? Mandanos día, horario, dirección y quiénes tocan a [email protected], al menos una semana antes.",La agenda del NO | Recitales del jueves 6 al miércoles 12 de abril,"['Agenda de recitales', 'Música en vivo', 'Música internacional']","['Nahuel y Perro Indio en El Teatro Flores, Av. Rivadavia 7806. A la medianoche.', 'Jeriko en Centro Salamanca, Av. Independencia 2540. A las 19.', 'Julio Chivel en Café Vinilo, Estados Unidos 2483. A las 20.', 'Divididos en el Microestadio Municipal de Hurlingham, Pedro Díaz 1550, William Morris. A las 16.', ""Nada Personal y Marciano's en Abbey Road, Juan B. Justo 620, Mar del Plata. A las 21."", 'El Soldado en Pétalos de Sol, Bv. San Juan y Cañada, Córdoba. A las 21.', 'Zeballos en Comuna Club, Colón Extremo Sur y Ruta 3, San Luis. A las 20.', 'Cris MJ, AK4:20, DJ Skinny y Color en Amérika Disco, Gascón 1040. Desde la medianoche.', 'La Real Academia, Playa Nudista y No Me Toques en el Festival Refresco, Niceto Club, Niceto Vega 5510. Desde las 20.', 'Albino Negro en La Casa del Árbol, Av. Córdoba 5217. A las 20.', 'Le Temps en el Polo Cultural Almagro, Acuña de Figueroa 1040. A las 20.', 'Brazilian & Jazz Connection en Café Vinilo, Estados Unidos 2483. A las 20.', 'Blind Project, Sebastián Mohr y Nikte en La Cigale, Av. 25 de Mayo 597. Desde las 23.30.', 'Mis sueños son de tu adiós, Solve y Fenece en Morrison Club Cultural, Espinosa 1159. Desde las 20.', ""Custom71, Bagual, Pío, Dark of Song, Amanecidos y Stifler's Mom en Montana Bar, Portugal 3214, Isidro Casanova. Desde las 20."", 'Richter en Juana de Arco, Alem y Mitre, Cañuelas. A las 23.', 'No Te Va Gustar, El Kuelgue, El mató a un policía motorizado, Conociendo Rusia, El plan de la mariposa y más en Rock en Baradero, Anfiteatro Municipal, Baradero. Desde las 16.', 'Zeballos en Mamadera, Av. Circunvalación, San Juan. A las 20.', 'Ibiza Pareo, Marton Marton y Rascolnikoff en el Festival Refresco, Niceto Club, Niceto Vega 5510. Desde las 20.', 'Mango para Armar en Rincón Casa Cultural, Rincón 1330. A las 20.', 'Monarcä en Strummer Bar, Godoy Cruz 1631. A las 20.', 'Hernán Ríos y Facundo Guevara en Café Vinilo, Estados Unidos 2483. A las 20.', 'Pau Viguer en Jazz Voyeur Club, Posadas 1557. A las 20.30.', 'Sofía Zeta, Necrofel, Flaüta y Roma en La Cigale, Av. 25 de Mayo 597. Desde la medianoche.', 'Muffalos Blues, La Manija del Rock y DKW en Morrison Club Cultural, Espinosa 1159. Desde las 20.', 'Adicta en Tío Bizarro, Carlo Pellegrini 800, Burzaco. A las 21.', 'Custom71 en la Sociedad de Fomento San José, Rawson y Ameghino, Cañuelas. A las 21.', 'La Vela Puerca, Catupecu Machu, Eruca Sativa, Nonpalidece, Juanse y más en Rock en Baradero, Anfiteatro Municipal, Baradero. Desde las 16.', 'Epicentro, Nene Nena y Estallando en Studio Theater, Rosario de Sta. Fe 272, Córdoba. Desde las 23.30.', 'Zeballos en 23 Ríos, Acceso Sur - Lateral Este 5269, Mendoza. A las 20.', 'Divididos en Laguna de los Patos, Tilcara. A las 16.', 'Fulgura y La Gente en El Refugio Club Cultural, Vedia 240, Resistencia. A las 21.', 'Fenna Frei en La Tangente, Honduras 5317. A las 20.', 'Lautaro Greco y En Desórbita en Café Vinilo, Estados Unidos 2483. A las 20.', 'Emilio Teubal Trío en Bebop Club, Uriarte 1658. A las 20.', 'Cabeza de Elefante en el Centro Cultural 25 de Mayo, Triunvirato 444. A las 20.', '', '']"
"""Bilardo es una forma de ver la vida, sentirla y entenderla""",2023-04-05T08:48:27-03:00,"Campeón del Mundo e ídolo pincha, Carlos Salvador Bilardo trascendió al fútbol y se convirtió en ícono cultural trasgeneracional.",En el estadio UNO hubo todo tipo de expresiones para celebrar los 85 años del Doctor,"['Carlos Salvador Bilardo', 'La Plata']","['El domingo 26 de marzo, el playón del Paseo de los Profesores sobre la calle 55 estaba abarrotado de gente. Sorprendía a extraños tanta convocatoria frente al estadio de Estudiantes de La Plata, teniendo en cuenta que no había partidos por el fin de semana de la Memoria. Lo que estaba sucediendo, en verdad, era un homenaje multidisciplinario a Carlos Salvador Bilardo, que días antes había cumplido 85 años.', 'Fue la excusa perfecta que encontró el Colectivo Cultural Alejandro Sabella\xa0(otro baluarte de Estudiantes que tampoco se formó allí; Pachorra salió de las inferiores de River, y el Narigón de las de San Lorenzo),\xa0para llevar a cabo la cuarta edición de una experiencia que comenzó pre pandemia en distintas sedes, antes de pasar a la órbita del estadio UNO. El megahomenaje incluyó feria gráfica, obras varias, una instalación artística con videos, performance de pintura, stencil y serigrafía, un conversatorio en el auditorio del estadio y la reproducción de la docuserie de Netflix en pantalla gigante sobre el Paseo de los Profesores, orbitado por el grueso de la acción.', 'El CCAS también realiza otros eventos, todos tendientes al debate sobre la identidad pincha: desde murales en filiales de todo el país hasta intervenciones callejeras en La Plata. Pero Bilardo es un personaje que está más allá de colores o fanatismos. ""A muchos el Narigón nos llegó por ser hinchas de Estudiantes, aunque otros artistas no lo sean. Lo que pasa es que su figura trascendió al fútbol, es un ícono cultural. La muestra es que siempre nos fue fácil producir y convocar artistas que produjeran obras en torno a él. No pasa con tantas figuras del fútbol, al menos no con semejante magnitud"", sostiene Diego Abadie, en nombre del colectivo bautizado en honor a Sabella, quien también logró el cariño universal tras dirigir a la Selección Argentina, como el Doctor.', '""Desde el primer momento la idea fue convocar a varios artistas para sacar a Bilardo un poco del fútbol y plasmarlo en otros soportes. El objetivo: lograr narrarlo de otra forma"", cuenta Diego. Así aparecieron pintores, escultores, muralistas, serigrafistas. ""El Narigón trasciende el fútbol, e incluso al personaje que en un momento se le creó alrededor en los medios de comunicación. Es una figura con mucho carisma y mucho para contar. Estética y visualmente es un personaje muy rico, por eso se vuelve atractivo para cualquiera.""', 'Si bien siempre admiraron a Bilardo, Abadie dice que quizás tomaron otra dimensión de su relieve cuando empezaron a producir obras sobre él. ""Viendo la cantidad de imágenes nos convencimos de que había muchas otras maneras de contarlo, más allá de la pelota"", agrega. Para esta ocasión, a la muestra le agregaron un conversatorio justamente con la idea de reconstruir su figura desde distintas ópticas, y una instalación en una de las escalinatas de las entradas del UNO, con televisores con distintos videos de su vida, pinturas, una gigantografía y mapping en las paredes.', '""“A medida que fuimos armando esta actividad nos dimos cuenta de que en esa posta lográbamos la síntesis final de lo que por ahí cierra el universo bilardiano. Porque, a esta altura, nadie duda que que Bilardo es mucho más que un ex jugador de Estudiantes o un técnico campeón del mundo. Es, también, una forma de ver la vida, sentirla y entenderla. Y, desde nuestro humilde lugar, el mejor de los homenajes que podemos hacerle, que es con él en vida.""', '', '', '', '']"
"Partiboi69 en Argentina, los pibes de la sub-17 y mucho más",2023-04-05T08:46:59-03:00,"Reinas del universo, fiestas en el jardín, postpunk inglés, festivales bonaerenses, premios adquisición y artistas debutantes.","Los #Hashtags del NO | Música nueva y lo mejor para ver, leer, jugar, probar y aprender",['Selección Argentina'],"['#Pantallazos Si estás para documentales y andás por La Plata, hoy son las últimas funciones gratuitas en el Cine Municipal Select de Desamparados bajo el agua, de Uriel Fernández, que recupera relatos de la inundación platense de 2013. Si te la das de valiente, el ciclo Dulces sueños promete cine de terror con la nueva Carrie, la argentina Lo inevitable\xa0y muchas más, los jueves a las 22 por AMC. Y si estás para competiciones de TV, arrancaron la de cantantes drag Queen of the Universe en camino en Paramount+; y la de artistas latinos urbanos La firma, de Netflix, que tiene a Nikki Nicole, Rauw Alejandro, Yandel, Tainy y Lex Borrero buscando ""la próxima estrella"".', '#HayTablas Una familia oriental afronta los fantasmas del suicidio adolescente en Luntai, una tragedia chinoargentina, de Malena Pérez Bergallo (jueves, Complejo Teatral Ítaca). Identidad, discriminación, justicia y adopción se entrecruzan en la versión argentina de AKA (Also Known As), con Lucas Pose y banda en vivo (7/4, CC 25 de Mayo). Además, la obra Fiesta en el jardín reestrena el 7/4 por seis únicas funciones, los viernes a las 23.15 hasta el 12/5 en TIMBRe4.', '#VamosLosPibes Mientras la AFA calienta motores para ser la sede improvisada, desde mayo, del Mundial de fútbol masculino sub-20 (al que entró por la chimenea al convertirse en organizadora); ya podés seguir los partidos de la Selección Argentina adolescente: empezó el torneo sudamericano sub 17 de varones, la pibada argentina ganó sus partidos con Venezuela y Bolivia, y ahora tocan Perú (6/4) y Paraguay (8/4).', '#DeVisitante El chico terrible de la electrónica australiana Partiboi69 tendrá su debut argentino en Uniclub (21/4). Los postpunks ingleses Dry Cleaning harán doblete con shows en Mar del Plata (14/5, con los locales Altocamet y Buenos Vampiros) y en Niceto Club (16/5). Y en este segundo trimestre se acercan los shows de los mexicanos Reik en el Movistar Arena (29/4), de los neerlandeses Pestilence en The Roxy Live (1/5), de los belgas Amelie Lens y Farrago en Madero Boardwalk (4/5), de la estadounidense Alicia Keys en el Movistar Arena (7/5), del uruguayo Cardellino en el Luna Park (20/5), del australiano Flume en Obras (31/5), del yanqui Steve Vai en el Luna Park (6/6) y del húngaro Jay Lumen en el Auditorio Bustelo de Mendoza (16/6).', '#Cursos&Concursos Abrió nueva convocatoria del Catálogo Código Provincia, que permite formar parte de playlists, eventos y festivales organizados por la provincia de Buenos Aires y está dirigido a bandas, solistas, artistas sonorxs y demás integrantes del sector musical, como sellos, estudios y mánagers. Y en la misma órbita salió el Primer Concurso de Cultura, Arte y Tecnologías, del Instituto Cultural de la Provincia de Buenos Aires, que hasta el 30/4 seleccionará proyectos tecnológicos sobre innovación, accesibilidad e industrias creativas para dar estímulos de hasta 300 mil pesos y premios adquisición para su exhibición en museos provinciales.', '#DeCatálogo Siempre hay alguien debutando, como hacen en su primer disco la tribu audiovisual La Forastería (Cirugía al alma), el baterista y productor de música electrónica Mart1nlc (La fuerza invisible), el combo porteño Lo Que Nos Cuentan (Pánico, locura y amor), los indies cancioneros Vicente Colombo (Para: Miriam), el modelo y cantautor de pop épico Dease (ANFIS|BENA) o la cantautora conurbana Sofía Uzal (Desde lejos). Y también siempre hay alguien repitiendo, como confirman el segundo EP de la cancionista cordobesa Ile Pez (Tu risa es el fuerte, que en YouTube trae animaciones de Fernando Gómez) y los segundos discos de Facu Iñigo (Últimos reportes), de Popi Tass (Buen viaje) y de Sofi Aristarain (30-40, ""manifiesto antipatriarcal sobre la mediana edad"", arreglado por Javier Lewkowicz).', '', '', '', '']"
Los inventados: no ignores la belleza de este mundo extraño,2023-04-04T16:06:44-03:00,La actriz y cantante sigue vibrando en una película sobre cinco personas desconocidas en un retiro actoral de cuatro días.,"Vero Gerez coprotagoniza una ""ficción sobre la ficción"", que igual vale para todo público","['cine argentino', 'Cine.ar']","['¿Qué vida elegiríamos si pudiéramos hacerlo? ¿Somos quienes queremos o anhelamos protagonizar otra existencia? En definitiva, ¿podemos sostener la idea de una vida distinta sin encontrarnos con los mismos problemas? Algo de eso plantea Los inventados, una colección de ficciones dentro de otra ficción en la que el hastío y el deseo conviven para construir una trama onírica en la que el rompecabezas de su historia puede armarse de distintas maneras. Puede verse en el CC San Martín, en el Cine Teatro Helios y el próximo 10 de mayo estará disponible en CINE.AR.', 'Lucas (Juan Grandinetti) tiene un trabajo aburrido en un call center y un pasado del que parece renegar. Y en un casting para una publicidad conoce, frente a una cartelera de anuncios teatrales, a una chica (Verónica Gerez) que está por hacer un seminario de actuación. Arrastrado por ese primer encuentro fortuito, busca prolongarlo y se anota también. Son cuatro días en una casa alejada de todo, en la que cinco desconocidxs tienen que sostener el personaje que quieran inventarse con un único requisito: no cortar nunca. Porque, explica el profesor, ""la verdad de la vida es bancarse el disfraz"".', 'Desde ese momento comienza un torbellino de situaciones en las que lo verdadero y lo falso comienzan a desdibujar sus fronteras, y que sumerge a quienes miran en un juego interpretativo en el que casi cualquier posibilidad es creíble. Explica\xa0Vero Gerez: ""Ahora que la veo como espectadora, me dejó más preguntas de las que imaginaba que me podía dejar una película. Es una ficción sobre la ficción, y que nos presenta personajes que hablan sobre la ficción pero que nos hacen pensar sobre escenas que conocemos de la vida cotidiana"", describe. ""Cuando leí el guión me puse en un lugar de volver atrás para tratar de encontrar pistas, de sacarles la ficha todo el tiempo a los personajes.""', 'Los inventados muestra cierta apatía y hastío en algunxs de sus protagonistas, pero también una búsqueda sin garantía de resultados. Un futuro a veces poco prometedor y una pandemia en el pasado reciente son el telón de fondo de decisiones que tomamos día a día. ""Cuando venís en automático o empezás a perder de vista el deseo, te puede agarrar un período de apatía total y preguntarte qué es este mundo absurdo, violento y extraño en el que vivimos, qué sentido tiene esto"", opina Gerez.', 'A ella le pasó hace poco. ""En pandemia mil veces me pregunté para qué sirve lo que estaba haciendo, porque de repente se frenó."" Igual, se ilusiona: ""Siempre que hacés una movida diferente a la que venís haciendo se disparan cosas nuevas y te metés en nuevos líos"". Es que ella sabe lo que es ser varias a la vez: actriz de cine, teatro y videoclips, cantante, asistente de dirección vocal y... ordenadora de cosas. ""Tener una rutina a veces te puede dar un piso para despegar y poder hacer otras cosas"", analiza.', 'A mí que me cuesta sostener la rutina, le doy mucho valor. Laburo con una amiga que hace ropa sustentable, y entrar al taller y meter las manos en las cosas me sirve. Mi superpoder es que soy muy buena ordenando"", dice y ríe. ""¡Me jacto de eso y me encanta decirlo!"", se divierte. ""Entro al taller, armo pilas de cosas, limpio. Mi parte creativa se dispara por estar ahí horas ordenando. Los oficios me parecen muy inspiradores.""', 'Los inventados (ópera prima en pantalla grande de Leo Basilico, Nicolás Longinotti y Pablo Rodríguez Pandolfi) es una especie de road movie sin recorrer caminos, un viaje paisajístico al interior de los vínculos que construyen personajes que irán desapareciendo sin dejar rastros materiales ni en el recuerdo de quienes quedan. Excepto en Lucas, con flashbacks precisos que abren puertas que habilitan a espiar en senderos que tal vez, hasta ese momento, nunca se habían planteado.', '""Algo de ese suspenso, de esa sensación de medir al otro, me hizo acordar a estar viajando sola"", compara Gerez. ""Estar en una situación muy íntima con desconocidos en un lugar extraño, que te genera un poco de cosa. Ese suspenso que hay en la película, donde como espectador estás midiendo todo el tiempo. Siempre puede pasar algo malísimo, está el peligro.""', 'Difícil de clasificar, este juego de espejos cinematográfico tiene momentos de comedia, pero también se puede denominar de suspenso o misterio, y logra construir muy bien cada uno de esos climas. Y, claro, todas esas clasificaciones son posibles. ""Ves el deseo de la historia que quiere encontrar cada uno"", observa Gerez. ""Una amiga me decía que creía que mi personaje iba a tener una relación con el de Juan, y que nosotros íbamos a pensar si había sido la realidad o una construcción del personaje que ella se había hecho para estar ahí"", cuenta.', 'Y recuerda que cuando leyó el guión pensó que su personaje mataba a todos. ""¡Qué bien, me llamaron para ser mala! Era mi fantasía, que me gustan el terror y el suspenso, la comedia negra... ¡Y mi amiga pensando que era una comedia romántica!"", estalla.', 'Gerez tuvo sus bandas, Pequeña Orquesta de Trovadores y el dúo Bestia (con Paloma Iturri), y también hizo colaboraciones musicales, pero desde que protagonizó Cómo funcionan casi todas las cosas en 2015 decidió concentrarse en la actuación. Desde entonces participó de películas, series y obras de teatro, un trabajo que define como la novia nueva. ""Es excitante y no la entiendo, pero me gusta"", bromea.', 'Además, hoy es parte de la compañía Palestra Films, un proyecto artístico colectivo. ""Es uno de los proyectos más vitales para mí en este momento. ¡Necesito que exista!"", asegura. El año pasado hicieron la comedia negra Estertor, que estuvo nominada a mejor película en el Festival de Gijón en 2022 y que Gerez espera que pueda proyectarse pronto en Argentina.', 'Además, ahora está filmando El olor del pasto recién cortado, de Celina Murga. ""Es una anécdota, pero muestra que los mundos se linkean más allá de que no le esté poniendo energía en este momento"", reflexiona. ""Cuando me llegó el guión para el casting, la escena que me tocaba estudiar empezaba con un tema de Bestia. Cuando vi eso pensé en qué loco que cuando uno cree que no está haciendo algo, porque no estamos tocando, esas cosas tienen crecimiento por su cuenta.""', 'Sin embargo a veces, afirma sonriendo, esas cosas no la linkean consigo misma. Dice que en el mundo de la música suelen no saber que también es actriz, y cuando actúa muchas veces ignoran que es música. ""Son como dos identidades, y cuando se encuentran empiezo a ver que hay otro recorrido que es valioso, y hay que integrarlas"", se entusiasma. ""Trato de poner orden para que sea un poco más amable el trabajo y la existencia, pero después se descontrola y soy la contradicción de querer ordenar y que se me mezcle todo igual"", se despide Gerez.', '', '']"
Es Inteligencia Artificial,2023-04-04T16:06:37-03:00,,Bife angosto,[],[]
Poker Face: conmigo no,2023-03-31T09:52:13-03:00,"Entre naipes y malechores, Natasha Lynne pilotea uno de esos súper poderes realmente envidiables: descubrir cualquier mentira.","Episodio #119 de Ahí nos vimos, el podcast de cosas para ver del NO","['Series', 'Detectives', 'Póker', 'Ahí nos vimos']","['Deschavá Poker Face, la serie que sigue a una chica con el don de descubrir cualquier mentira, una habilidad innata y todopoderosa para jugar a las cartas y para convertirse en detective aficionada. Una road movie de pesquisa, observación y corazón, en la que Natasha Lyonne pone su magnetismo ajado y su súper poder antimentiras para meterse en la lista de grandes detectives de la TV del nuevo milenio.', '', '', '', '']"
